       origin,            N,           r0,   integrator,           ic,           dt,          div,           cc,          mcc,            t,       parity,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,          845,           23,     0.322581,            0,            1,     0.592067,     0.450088,     1.187272,    -0.410891,            2,     0.544992,     0.601622,     0.252705,     0.917174,            3,     0.552725,     0.595720,     0.657270,     1.034092,            4,     0.468403,     0.596449,    -0.303151,     0.922239,            5,     0.417372,     0.557006,    -0.790516,     0.542430,            6,     0.400250,     0.497010,    -0.952778,    -0.032049,            7,     0.421859,     0.437437,    -0.747576,    -0.601628,            8,     0.502514,     0.415732,    -0.020295,    -0.620149,            9,     0.507604,     0.408089,     0.142337,    -1.041510,           10,     0.592215,     0.440845,     0.574732,    -0.709708,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,         1145,           23,     0.354839,            0,            1,     0.624459,     0.424910,     0.837104,    -0.898230,            2,     0.559199,     0.627939,     0.419909,     0.768015,            3,     0.567871,     0.632347,     0.490067,     1.183251,            4,     0.458623,     0.626199,    -0.303151,     0.922239,            5,     0.391871,     0.574504,    -0.790516,     0.542430,            6,     0.369515,     0.495977,    -0.952778,    -0.032049,            7,     0.397743,     0.418030,    -0.747576,    -0.601628,            8,     0.505925,     0.389567,     0.055740,    -0.605062,            9,     0.508131,     0.380653,     0.066302,    -1.056596,           10,     0.616662,     0.429876,     0.924900,    -0.222369,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,         1445,           23,     0.387097,            0,            1,     0.644761,     0.407431,     0.623070,    -0.337600,            2,     0.578317,     0.656752,     0.626835,     0.853961,            3,     0.578107,     0.666478,     0.283140,     1.097305,            4,     0.448844,     0.655949,    -0.303151,     0.922239,            5,     0.366371,     0.592002,    -0.790516,     0.542430,            6,     0.338780,     0.494943,    -0.952778,    -0.032049,            7,     0.373628,     0.398622,    -0.747576,    -0.601628,            8,     0.509466,     0.362876,     0.132398,    -0.616577,            9,     0.508527,     0.353741,    -0.010356,    -1.045081,           10,     0.653199,     0.411206,     1.138934,    -0.782999,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,         1745,           23,     0.419355,            0,            1,     0.678147,     0.395806,     1.208919,    -0.467592,            2,     0.597316,     0.691072,     0.639164,     1.077686,            3,     0.588462,     0.695102,     0.270812,     0.873580,            4,     0.439065,     0.685698,    -0.303151,     0.922239,            5,     0.340870,     0.609499,    -0.790516,     0.542430,            6,     0.308045,     0.493909,    -0.952778,    -0.032049,            7,     0.349513,     0.379215,    -0.747576,    -0.601628,            8,     0.512951,     0.335647,     0.200646,    -0.653337,            9,     0.508978,     0.327368,    -0.078604,    -1.008322,           10,     0.676652,     0.386683,     0.553085,    -0.653007,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,         2045,           23,     0.451613,            0,            1,     0.709215,     0.370035,     0.777852,    -0.885083,            2,     0.611302,     0.727674,     0.442934,     1.185848,            3,     0.603830,     0.721445,     0.467042,     0.765418,            4,     0.429286,     0.715448,    -0.303151,     0.922239,            5,     0.315370,     0.626997,    -0.790516,     0.542430,            6,     0.277311,     0.492875,    -0.952778,    -0.032049,            7,     0.325397,     0.359808,    -0.747576,    -0.601628,            8,     0.516202,     0.307931,     0.252442,    -0.711010,            9,     0.509664,     0.301483,    -0.130400,    -0.950648,           10,     0.702422,     0.376305,     0.984151,    -0.235516,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,         2345,           23,     0.483871,            0,            1,     0.729751,     0.353987,     0.666667,    -0.295376,            2,     0.621058,     0.760748,     0.260353,     1.055965,            3,     0.623429,     0.751314,     0.649622,     0.895301,            4,     0.419507,     0.745198,    -0.303151,     0.922239,            5,     0.289869,     0.644495,    -0.790516,     0.542430,            6,     0.246576,     0.491841,    -0.952778,    -0.032049,            7,     0.301282,     0.340400,    -0.747576,    -0.601628,            8,     0.519068,     0.279834,     0.281683,    -0.782801,            9,     0.510735,     0.275977,    -0.159641,    -0.878857,           10,     0.738725,     0.356205,     1.095337,    -0.825223,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,         2645,           23,     0.516129,            0,            1,     0.764202,     0.341378,     1.220164,    -0.527234,            2,     0.632156,     0.788481,     0.298175,     0.835115,            3,     0.641685,     0.786525,     0.611801,     1.116151,            4,     0.409728,     0.774947,    -0.303151,     0.922239,            5,     0.264369,     0.661993,    -0.790516,     0.542430,            6,     0.215841,     0.490807,    -0.952778,    -0.032049,            7,     0.277166,     0.320993,    -0.747576,    -0.601628,            8,     0.521443,     0.251511,     0.284925,    -0.860251,            9,     0.512297,     0.250699,    -0.162883,    -0.801407,           10,     0.761113,     0.332665,     0.541840,    -0.593365,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,         2945,           23,     0.548387,            0,            1,     0.793863,     0.315260,     0.721873,    -0.861633,            2,     0.648649,     0.815107,     0.513569,     0.773386,            3,     0.654546,     0.822844,     0.396406,     1.177880,            4,     0.399949,     0.804697,    -0.303151,     0.922239,            5,     0.238868,     0.679490,    -0.790516,     0.542430,            6,     0.185106,     0.489774,    -0.952778,    -0.032049,            7,     0.253051,     0.301586,    -0.747576,    -0.601628,            8,     0.523280,     0.223139,     0.261785,    -0.934234,            9,     0.514397,     0.225469,    -0.139743,    -0.727424,           10,     0.788291,     0.322635,     1.040131,    -0.258965,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,         3245,           23,     0.580645,            0,            1,     0.814884,     0.300578,     0.717063,    -0.261555,            2,     0.668481,     0.846113,     0.662627,     0.940679,            3,     0.664068,     0.854782,     0.247349,     1.010587,            4,     0.390170,     0.834447,    -0.303151,     0.922239,            5,     0.213368,     0.696988,    -0.790516,     0.542430,            6,     0.154372,     0.488740,    -0.952778,    -0.032049,            7,     0.228936,     0.282178,    -0.747576,    -0.601628,            8,     0.524592,     0.194905,     0.214989,    -0.996034,            9,     0.517021,     0.200101,    -0.092947,    -0.665625,           10,     0.824109,     0.301169,     1.044941,    -0.859044,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,         3545,           23,     0.612903,            0,            1,     0.850209,     0.286813,     1.220650,    -0.587924,            2,     0.685814,     0.882027,     0.576556,     1.147554,            3,     0.676089,     0.881812,     0.333419,     0.803712,            4,     0.380391,     0.864196,    -0.303151,     0.922239,            5,     0.187867,     0.714486,    -0.790516,     0.542430,            6,     0.123637,     0.487706,    -0.952778,    -0.032049,            7,     0.204820,     0.262771,    -0.747576,    -0.601628,            8,     0.525459,     0.166977,     0.150052,    -1.038368,            9,     0.520091,     0.174427,    -0.028010,    -0.623291,           10,     0.845623,     0.278786,     0.541353,    -0.532675,
