        NOTES,            N,           r0,           dT,           dt,          dtt,            t,           it,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,
         init,            3,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,            0,            1,     0.600000,     0.500000,    -0.100000,    -0.000000,            2,     0.450000,     0.586603,     0.050000,    -0.086603,            3,     0.450000,     0.413397,     0.050000,     0.086603,
          sim,            3,     0.010000,     2.000000,     0.200000,     0.200000,     0.200000,            1,            1,     0.580000,     0.500000,    -0.100000,    -0.000000,            2,     0.460000,     0.569282,     0.050000,    -0.086603,            3,     0.460000,     0.430718,     0.050000,     0.086603,
          ...,            3,     0.010000,     2.000000,     0.200000,     0.200000,     0.400000,            0,            1,     0.560000,     0.500000,    -0.100000,    -0.000000,            2,     0.470000,     0.551962,     0.050000,    -0.086603,            3,     0.470000,     0.448038,     0.050000,     0.086603,
          ...,            3,     0.010000,     2.000000,     0.200000,     0.200000,     0.600000,            1,            1,     0.540000,     0.500000,    -0.100000,    -0.000000,            2,     0.480000,     0.534641,     0.050000,    -0.086603,            3,     0.480000,     0.465359,     0.050000,     0.086603,
          ...,            3,     0.010000,     2.000000,     0.200000,     0.200000,     0.800000,            0,            1,     0.520000,     0.500000,    -0.100000,    -0.000000,            2,     0.490000,     0.517321,     0.050000,    -0.086603,            3,     0.490000,     0.482679,     0.050000,     0.086603,
          ...,            3,     0.010000,     2.000000,     0.200000,     0.200000,     1.000000,            1,            1,     0.522500,     0.495670,     0.125001,    -0.043301,            2,     0.485000,     0.512990,    -0.100000,     0.043301,            3,     0.492500,     0.491340,    -0.025001,     0.000000,
          ...,            3,     0.010000,     2.000000,     0.200000,     0.200000,     1.200000,            0,            1,     0.547500,     0.487010,     0.125001,    -0.043301,            2,     0.468750,     0.515155,    -0.062501,    -0.021650,            3,     0.483750,     0.497835,    -0.062500,     0.064952,
          ...,            3,     0.010000,     2.000000,     0.200000,     0.200000,     1.400000,            1,            1,     0.572500,     0.478349,     0.125001,    -0.043301,            2,     0.452500,     0.512991,    -0.100000,     0.000001,            3,     0.475000,     0.508660,    -0.025000,     0.043301,
          ...,            3,     0.010000,     2.000000,     0.200000,     0.200000,     1.600000,            0,            1,     0.597500,     0.469689,     0.125001,    -0.043301,            2,     0.440000,     0.512991,    -0.025001,    -0.000001,            3,     0.462500,     0.517320,    -0.100000,     0.043302,
          ...,            3,     0.010000,     2.000000,     0.200000,     0.200000,     1.800000,            1,            1,     0.622501,     0.461029,     0.125001,    -0.043301,            2,     0.431250,     0.510825,    -0.062501,    -0.021650,            3,     0.446250,     0.528146,    -0.062499,     0.064952,
          ...,            3,     0.010000,     2.000000,     0.200000,     0.200000,     2.000000,            0,            1,     0.647501,     0.452369,     0.125001,    -0.043301,            2,     0.422499,     0.512990,    -0.025000,     0.043300,            3,     0.430000,     0.534641,    -0.100001,     0.000001,
          ...,            3,     0.010000,     2.000000,     0.200000,     0.200000,     2.000000,            0,            1,     0.647501,     0.452369,    -0.125001,     0.043301,            2,     0.422499,     0.512990,     0.025000,    -0.043300,            3,     0.430000,     0.534641,     0.100001,    -0.000001,
          sim,            3,     0.010000,     2.000000,     0.200000,     0.200000,     2.200000,            1,            1,     0.622501,     0.461029,    -0.125001,     0.043301,            2,     0.431249,     0.510825,     0.062502,     0.021651,            3,     0.446250,     0.528146,     0.062499,    -0.064952,
          ...,            3,     0.010000,     2.000000,     0.200000,     0.200000,     2.400000,            0,            1,     0.597501,     0.469689,    -0.125001,     0.043301,            2,     0.439999,     0.512990,     0.025000,    -0.000001,            3,     0.462500,     0.517321,     0.100001,    -0.043300,
          ...,            3,     0.010000,     2.000000,     0.200000,     0.200000,     2.600000,            1,            1,     0.572500,     0.478350,    -0.125001,     0.043301,            2,     0.452499,     0.512990,     0.100000,     0.000001,            3,     0.475000,     0.508660,     0.025001,    -0.043302,
          ...,            3,     0.010000,     2.000000,     0.200000,     0.200000,     2.800000,            0,            1,     0.547500,     0.487010,    -0.125001,     0.043301,            2,     0.468749,     0.515155,     0.062498,     0.021651,            3,     0.483751,     0.497835,     0.062503,    -0.064952,
          ...,            3,     0.010000,     2.000000,     0.200000,     0.200000,     3.000000,            1,            1,     0.522500,     0.495670,    -0.125001,     0.043301,            2,     0.484999,     0.512990,     0.100002,    -0.043299,            3,     0.492501,     0.491340,     0.024999,    -0.000002,
          ...,            3,     0.010000,     2.000000,     0.200000,     0.200000,     3.200000,            0,            1,     0.519999,     0.500000,     0.099996,     0.000000,            2,     0.489999,     0.517321,    -0.050006,     0.086607,            3,     0.490002,     0.482679,    -0.049990,    -0.086607,
          ...,            3,     0.010000,     2.000000,     0.200000,     0.200000,     3.400000,            1,            1,     0.539999,     0.500000,     0.099996,     0.000000,            2,     0.479998,     0.534643,    -0.050006,     0.086607,            3,     0.480004,     0.465357,    -0.049990,    -0.086607,
          ...,            3,     0.010000,     2.000000,     0.200000,     0.200000,     3.600000,            0,            1,     0.559998,     0.500000,     0.099996,     0.000000,            2,     0.469997,     0.551964,    -0.050006,     0.086607,            3,     0.470006,     0.448036,    -0.049990,    -0.086607,
          ...,            3,     0.010000,     2.000000,     0.200000,     0.200000,     3.800000,            1,            1,     0.579997,     0.500000,     0.099996,     0.000000,            2,     0.459995,     0.569285,    -0.050006,     0.086607,            3,     0.460008,     0.430714,    -0.049990,    -0.086607,
          ...,            3,     0.010000,     2.000000,     0.200000,     0.200000,     4.000000,            0,            1,     0.599996,     0.500000,     0.099996,     0.000000,            2,     0.449994,     0.586607,    -0.050006,     0.086607,            3,     0.450010,     0.413393,    -0.049990,    -0.086607,
